# v1 cointegration corpus retired 2026-05-30
# 398 rows from cointegration_sheet tagged methodology_version=v1_raw_adf
# columns: run_id | directive_id | pair_a | pair_b | is_current | completed_at_utc
#
dbd341521969ceabdc802110 | 90_PORT_ETHUSDJPN225_15M_COINTREV_V3_L30__E004 | ETHUSD | JPN225 | 0 | 2026-05-28T11:22:12Z
a039a94f00b4fce7b16c57b7 | 90_PORT_EUSTX50XAUUSD_15M_COINTREV_V3_L30__E005 | EUSTX50 | XAUUSD | 0 | 2026-05-28T11:22:29Z
3850fc96c3004a52bee3129d | 90_PORT_FRA40XAUUSD_15M_COINTREV_V3_L30__E005 | FRA40 | XAUUSD | 0 | 2026-05-28T11:22:45Z
70553ea184e5e842caf9ed61 | 90_PORT_GER40XAUUSD_15M_COINTREV_V3_L30__E005 | GER40 | XAUUSD | 0 | 2026-05-28T11:22:54Z
bb15494010dce5e647c1e2f7 | 90_PORT_AUDJPYCADJPY_15M_COINTREV_V3_L30__E260226 | AUDJPY | CADJPY | 1 | 2026-05-28T12:53:29Z
36e73d89e24bda6daa6849f8 | 90_PORT_AUDJPYEURAUD_15M_COINTREV_V3_L30__E240129 | AUDJPY | EURAUD | 1 | 2026-05-28T12:53:33Z
10956251299800efddb0dadc | 90_PORT_AUDJPYESP35_15M_COINTREV_V3_L30__E251230 | AUDJPY | ESP35 | 1 | 2026-05-28T12:53:37Z
8c370bdfb82710afb8f21886 | 90_PORT_AUDJPYAUDNZD_15M_COINTREV_V3_L30__E231229 | AUDJPY | AUDNZD | 1 | 2026-05-28T12:53:39Z
8042fd655ebae6c2542d73c7 | 90_PORT_AUDJPYEURJPY_15M_COINTREV_V3_L30__E240129 | AUDJPY | EURJPY | 1 | 2026-05-28T12:53:40Z
31cd67cd5a1f13ba6b7b48fa | 90_PORT_AUDJPYEURJPY_15M_COINTREV_V3_L30__E240802 | AUDJPY | EURJPY | 1 | 2026-05-28T12:53:41Z
fdad8739c2e897723ef78c5b | 90_PORT_AUDJPYEURAUD_15M_COINTREV_V3_L30__E241125 | AUDJPY | EURAUD | 1 | 2026-05-28T12:53:44Z
7a82e5fab66704992a6473a7 | 90_PORT_AUDJPYEURJPY_15M_COINTREV_V3_L30__E241125 | AUDJPY | EURJPY | 1 | 2026-05-28T12:53:46Z
45ed366b32855ea32588573c | 90_PORT_AUDJPYBTCUSD_15M_COINTREV_V3_L30__E260327 | AUDJPY | BTCUSD | 1 | 2026-05-28T12:53:51Z
1297ddda420c2d2f5be78b3c | 90_PORT_AUDJPYFRA40_15M_COINTREV_V3_L30__E250616 | AUDJPY | FRA40 | 1 | 2026-05-28T12:54:01Z
f5eeb6cfb7c795a87b28b6e7 | 90_PORT_AUDJPYGBPAUD_15M_COINTREV_V3_L30__E240123 | AUDJPY | GBPAUD | 1 | 2026-05-28T12:54:02Z
9cb1130f292cd8bf271eae01 | 90_PORT_AUDJPYFRA40_15M_COINTREV_V3_L30__E250812 | AUDJPY | FRA40 | 1 | 2026-05-28T12:54:03Z
7778e47acb7791d5f524c586 | 90_PORT_AUDJPYGBPJPY_15M_COINTREV_V3_L30__E240124 | AUDJPY | GBPJPY | 1 | 2026-05-28T12:54:05Z
18193147beda1e39592daa8b | 90_PORT_AUDJPYCADJPY_15M_COINTREV_V3_L30__E250502 | AUDJPY | CADJPY | 1 | 2026-05-28T12:54:09Z
3883a1f188bb467dd55517ec | 90_PORT_AUDJPYEUSTX50_15M_COINTREV_V3_L30__E251218 | AUDJPY | EUSTX50 | 1 | 2026-05-28T12:54:12Z
7d784af65948a0281459f101 | 90_PORT_AUDJPYFRA40_15M_COINTREV_V3_L30__E260331 | AUDJPY | FRA40 | 1 | 2026-05-28T12:54:17Z
c0629a6f846260faa4620ca0 | 90_PORT_AUDJPYGER40_15M_COINTREV_V3_L30__E260410 | AUDJPY | GER40 | 1 | 2026-05-28T12:54:22Z
277e9aa143bf32cff9100abd | 90_PORT_AUDJPYFRA40_15M_COINTREV_V3_L30__E251211 | AUDJPY | FRA40 | 1 | 2026-05-28T12:54:38Z
7f25df33906a667cc84a8180 | 90_PORT_AUDJPYUSDCHF_15M_COINTREV_V3_L30__E260129 | AUDJPY | USDCHF | 0 | 2026-05-28T12:54:58Z
75b4ebe008e6ff155d0d9f00 | 90_PORT_AUDJPYJPN225_15M_COINTREV_V3_L30__E250415 | AUDJPY | JPN225 | 0 | 2026-05-28T12:55:00Z
dc09a442e3d699052f5aea75 | 90_PORT_AUDJPYXAUUSD_15M_COINTREV_V3_L30__E240502 | AUDJPY | XAUUSD | 1 | 2026-05-28T12:55:08Z
dab896be478d26b0bad2ebea | 90_PORT_AUDNZDCADJPY_15M_COINTREV_V3_L30__E260216 | AUDNZD | CADJPY | 1 | 2026-05-28T12:55:12Z
bd6ade91779f28aa1c96e0e5 | 90_PORT_AUDJPYUK100_15M_COINTREV_V3_L30__E231229 | AUDJPY | UK100 | 0 | 2026-05-28T12:55:18Z
3d7f6400e4429d38d9762836 | 90_PORT_AUDJPYUK100_15M_COINTREV_V3_L30__E251223 | AUDJPY | UK100 | 0 | 2026-05-28T12:55:20Z
d645e4972ef73fee22e1293a | 90_PORT_AUDNZDEURUSD_15M_COINTREV_V3_L30__E250523 | AUDNZD | EURUSD | 1 | 2026-05-28T12:55:23Z
ff7f21526cce792c6801312f | 90_PORT_AUDJPYJPN225_15M_COINTREV_V3_L30__E241219 | AUDJPY | JPN225 | 0 | 2026-05-28T12:55:23Z
18f38867dcb61a01ec101f2b | 90_PORT_AUDNZDEURGBP_15M_COINTREV_V3_L30__E250418 | AUDNZD | EURGBP | 1 | 2026-05-28T12:55:28Z
576bae893ff69c5bf3d9f67b | 90_PORT_AUDJPYXAUUSD_15M_COINTREV_V3_L30__E260205 | AUDJPY | XAUUSD | 0 | 2026-05-28T12:55:38Z
d438f640fec20da970f387b6 | 90_PORT_AUDJPYUS30_15M_COINTREV_V3_L30__E251106 | AUDJPY | US30 | 0 | 2026-05-28T12:55:39Z
d1469251e0979ef9c3c81bd1 | 90_PORT_AUDNZDGER40_15M_COINTREV_V3_L30__E260410 | AUDNZD | GER40 | 0 | 2026-05-28T12:55:45Z
4f54825cdeea00c9aab70c07 | 90_PORT_AUDNZDNZDJPY_15M_COINTREV_V3_L30__E251013 | AUDNZD | NZDJPY | 1 | 2026-05-28T12:56:00Z
7897ded21c860b1e3f447102 | 90_PORT_AUDNZDFRA40_15M_COINTREV_V3_L30__E260324 | AUDNZD | FRA40 | 0 | 2026-05-28T12:56:10Z
333822c34164ab9adaeaf927 | 90_PORT_AUDNZDUSDCAD_15M_COINTREV_V3_L30__E240809 | AUDNZD | USDCAD | 1 | 2026-05-28T12:56:12Z
c61c9ee213a2a413cfb6df9c | 90_PORT_AUDNZDUSDCHF_15M_COINTREV_V3_L30__E250523 | AUDNZD | USDCHF | 1 | 2026-05-28T12:56:13Z
a865baa5cef0c2cf41207c22 | 90_PORT_AUDJPYCHFJPY_15M_COINTREV_V3_L30__E240606 | AUDJPY | CHFJPY | 1 | 2026-05-28T13:40:00Z
b77e12d42af410ca6e78c004 | 90_PORT_AUDJPYEURAUD_15M_COINTREV_V3_L30__E240730 | AUDJPY | EURAUD | 1 | 2026-05-28T13:40:00Z
0a1d87080803500c722d9a8c | 90_PORT_AUDNZDUSDCHF_15M_COINTREV_V3_L30__E260213 | AUDNZD | USDCHF | 1 | 2026-05-28T14:38:02Z
540afa68701ca19342fb5daf | 90_PORT_AUDNZDUSDJPY_15M_COINTREV_V3_L30__E250526 | AUDNZD | USDJPY | 1 | 2026-05-28T14:38:03Z
61d14f569ace7ffb636e7af3 | 90_PORT_AUDNZDUSDJPY_15M_COINTREV_V3_L30__E251212 | AUDNZD | USDJPY | 1 | 2026-05-28T14:38:04Z
41f10b3eea71e81bf1d21f5c | 90_PORT_AUDUSDEURGBP_15M_COINTREV_V3_L30__E251029 | AUDUSD | EURGBP | 1 | 2026-05-28T14:38:11Z
994782128406551521ea913c | 90_PORT_AUDNZDUK100_15M_COINTREV_V3_L30__E240202 | AUDNZD | UK100 | 1 | 2026-05-28T14:38:12Z
60f7697ac7d29697b2bfc591 | 90_PORT_AUDNZDXAUUSD_15M_COINTREV_V3_L30__E231229 | AUDNZD | XAUUSD | 1 | 2026-05-28T14:38:14Z
